Mahin: Hello, Whats up?
Bikram: Hey, Its All good, wbu?
Rakin: Yooo!
Mahin: Hiyalls
Mahin: Nice
Mahin: Super Danke
Mahin: Hi
Mahin: Hello
Mahin: :q\
Mahin: Hi
Mahin: 
Bikram: Hiu
Mahin: Hi
Bikram: HHi
Mahin: HI
Bikram: Hi
Mahin: Hello
Mahin: 1243
Bikram: His
Mahin: Hiui
Mahin: Hi
Mahin: Hi
Mahin: Hi
Mahin: Hi
Mahin: hi
Mahin: hi
Mahin: Hi
Mahin: Hi
Mahin: Hi
Mahin: Hie'
Mahin: niucecses
Mahin: s
Mahin: sfdwsfs
Mahin: [C
Mahin: 
Mahin: 
Mahin: lkjdsf
Mahin: sdklfjklsfjlsfjlsfkjsklfjsklfjsklfjlfjlsfjljsfljsfljsfljflsjfljflsjflksdjfakldjlkjwepoqipweoeipopqowepoqwepopqwepoqwiepoqiepoqie
Mahin: AShuor
Bikram: JLAKJSDLK
Mahin: qweqeqeqqq
Bikram: akljdlkajd
Bikram: qwopiepqwieop
Bikram: poqwiepqieop
Bikram: wpoeipqiep
Bikram: qwopeipqowei
Bikram: qowpiepoqwiepo
Bikram: a
Bikram: [dsa
Bikram: d
Bikram: ad
Bikram: ad
Bikram: ad
Bikram: a
Bikram: da
Bikram: da
Bikram: sdksl;dk;lsdkl;dsk
Bikram: askd
Bikram: akd
Bikram: a;ldka;
Bikram: ldka;l
Bikram: dk;lsdk;lsdkl;dks
Bikram: ssd
Bikram: sl;k
Bikram: l;dsk;sdks;lsdk;lkdss
Bikram: s;d
Mahin: chode
Mahin: jljl
Mahin: lkjkkljsjdpqowepqpeqpeqpepwoeoq
Mahin: eoqeo
Mahin: qeo
Mahin: qo
Mahin: ewiewoo
Mahin: oooo
Mahin: o
Mahin: o
Mahin: o
Mahin: ljklqwje
Mahin: lkqjwelkjqwlej
Bikram: jljl
Mahin: dsfsf
Bikram: ewrwr
Mahin: LJLJL
Mahin: JLJAL
Bikram: eqeqe
Bikram: qwewe
Mahin: qweqwe
Mahin: aalkjfaklfja
Bikram: Hi
Mahin: Hi
Bikram: Nice
Mahin: Nice
Mahin: 1
Mahin: 2
